"","dBa","neighborhood"
"1",61.1699054714312,"Brickell"
"2",66.0630017885736,"Brickell"
"3",63.5454289802373,"Brickell"
"4",64.3910282382573,"Brickell"
"5",61.7243182352793,"Brickell"
"6",67.0486358640545,"Brickell"
"7",59.5840658519738,"Brickell"
"8",61.8070835854906,"Brickell"
"9",62.7784205381009,"Brickell"
"10",61.0953153463936,"Brickell"
"11",63.0674040871642,"Brickell"
"12",61.1007533712464,"Brickell"
"13",61.349746606755,"Brickell"
"14",63.8975134269333,"Brickell"
"15",63.58049632216,"Brickell"
"16",59.8491002360263,"Brickell"
"17",62.2181624153199,"Brickell"
"18",65.7781963093346,"Brickell"
"19",60.7112068030102,"Brickell"
"20",62.2105939457992,"Brickell"
"21",63.4589741100905,"Brickell"
"22",65.0729554459843,"Brickell"
"23",63.6744134370939,"Brickell"
"24",64.8207669709466,"Brickell"
"25",63.3271205105654,"Brickell"
"26",63.7256092039421,"Brickell"
"27",65.4066239506378,"Brickell"
"28",62.7019196267014,"Brickell"
"29",63.8214623770882,"Brickell"
"30",62.5031360163729,"Brickell"
"31",64.7735308315461,"Brickell"
"32",64.2632024927627,"Brickell"
"33",63.3205360184306,"Brickell"
"34",65.1144615073286,"Brickell"
"35",64.0596749541321,"Brickell"
"36",58.7279591565872,"Brickell"
"37",61.2245567518897,"Brickell"
"38",63.4719939667714,"Brickell"
"39",62.8487385553737,"Brickell"
"40",62.2278060660485,"Brickell"
"41",62.4079312823367,"Brickell"
"42",62.0122472873225,"Brickell"
"43",60.1557879688105,"Brickell"
"44",65.5665643423581,"Brickell"
"45",59.4318953717099,"Brickell"
"46",60.7386215989274,"Brickell"
"47",59.091766567778,"Brickell"
"48",63.599520108615,"Brickell"
"49",63.9396899452646,"Brickell"
"50",63.4861333842642,"Brickell"
"51",62.880920722747,"Brickell"
"52",59.7668001630143,"Brickell"
"53",65.9458651633233,"Brickell"
"54",63.9412524359646,"Brickell"
"55",62.1919515428916,"Brickell"
"56",62.458670746897,"Brickell"
"57",62.1199927966876,"Brickell"
"58",63.9476309108567,"Brickell"
"59",61.0556384675452,"Brickell"
"60",61.8142816285181,"Brickell"
"61",67.1219499955385,"Brickell"
"62",58.4186113641166,"Brickell"
"63",64.2697482614838,"Brickell"
"64",63.3334467865705,"Brickell"
"65",62.4677894355751,"Brickell"
"66",62.1503425935473,"Brickell"
"67",63.8709881178002,"Brickell"
"68",64.4080600893452,"Brickell"
"69",60.5657319840547,"Brickell"
"70",63.7233816163575,"Brickell"
"71",64.7815614700091,"Brickell"
"72",65.2921750169118,"Brickell"
"73",64.4186983629374,"Brickell"
"74",63.6944098069132,"Brickell"
"75",60.2679283814874,"Brickell"
"76",63.6197678671281,"Brickell"
"77",63.6066611697974,"Brickell"
"78",62.0258036170771,"Brickell"
"79",61.1710492223658,"Brickell"
"80",62.9745654326095,"Brickell"
"81",61.2821640555702,"Brickell"
"82",64.181279644028,"Brickell"
"83",63.8848289131295,"Brickell"
"84",59.9989797468382,"Brickell"
"85",62.8233925771668,"Brickell"
"86",59.6126081528313,"Brickell"
"87",64.7159517708195,"Brickell"
"88",63.2884801524903,"Brickell"
"89",62.6480448011157,"Brickell"
"90",60.720564043802,"Brickell"
"91",62.7608302651157,"Brickell"
"92",60.6464536649545,"Brickell"
"93",67.3348540440013,"Brickell"
"94",61.5813416495974,"Brickell"
"95",64.6890029828621,"Brickell"
"96",64.4895213970614,"Brickell"
"97",62.7365709079036,"Brickell"
"98",65.0650215514914,"Brickell"
"99",64.394748228911,"Brickell"
"100",61.7304902582376,"Brickell"
"101",62.4093667817488,"Brickell"
"102",62.8047377573322,"Brickell"
"103",61.6394337897125,"Brickell"
"104",63.8072160416036,"Brickell"
"105",63.6013343014373,"Brickell"
"106",59.8590326675176,"Brickell"
"107",63.2564889149735,"Brickell"
"108",63.3382277069277,"Brickell"
"109",64.2552699935362,"Brickell"
"110",64.8008497595008,"Brickell"
"111",66.9762997196426,"Brickell"
"112",68.0168673762995,"Brickell"
"113",62.0225095167069,"Brickell"
"114",62.860887024512,"Brickell"
"115",64.9807643012884,"Brickell"
"116",63.8890665720203,"Brickell"
"117",64.6860824035992,"Brickell"
"118",64.4643014598017,"Brickell"
"119",61.9909000721343,"Brickell"
"120",63.0084699509833,"Brickell"
"121",63.6576879172426,"Brickell"
"122",59.8142080469734,"Brickell"
"123",60.4412610614044,"Brickell"
"124",62.1890835897509,"Brickell"
"125",61.364437547747,"Brickell"
"126",62.3839510011641,"Brickell"
"127",65.3114466228809,"Brickell"
"128",65.3217399877602,"Brickell"
"129",60.1792890104945,"Brickell"
"130",64.3401040238763,"Brickell"
"131",64.6708431467091,"Brickell"
"132",63.5740458734851,"Brickell"
"133",64.2220820708929,"Brickell"
"134",64.3851569351139,"Brickell"
"135",63.5527432577939,"Brickell"
"136",62.274514559152,"Brickell"
"137",64.5193956172397,"Brickell"
"138",62.5311568709762,"Brickell"
"139",65.3389491747453,"Brickell"
"140",64.7617513540162,"Brickell"
"141",53.8203205150844,"Brickell"
"142",53.4940530820386,"Brickell"
"143",54.0609951258481,"Brickell"
"144",54.5983173987226,"Brickell"
"145",54.6759015842438,"Brickell"
"146",54.0408472097462,"Brickell"
"147",53.2737608983292,"Brickell"
"148",56.3008120139693,"Brickell"
"149",54.294384819523,"Brickell"
"150",56.4194877466119,"Brickell"
"151",53.9468484531434,"Brickell"
"152",54.5378735483244,"Brickell"
"153",54.4885864439834,"Brickell"
"154",55.0309381162386,"Brickell"
"155",53.8511286358299,"Brickell"
"156",56.0611915311535,"Brickell"
"157",55.9422092548758,"Brickell"
"158",55.6377474298487,"Brickell"
"159",54.4224133285283,"Brickell"
"160",54.7061200841386,"Brickell"
"161",54.8888586675354,"Brickell"
"162",55.7146463738207,"Brickell"
"163",55.0912195390735,"Brickell"
"164",56.2397110763647,"Brickell"
"165",55.8476501450568,"Brickell"
"166",55.2727543811,"Brickell"
"167",55.2106364822992,"Brickell"
"168",55.6909068585028,"Brickell"
"169",56.3935768991087,"Brickell"
"170",55.6284967385292,"Brickell"
"171",54.8687996262675,"Brickell"
"172",55.4258986697149,"Brickell"
"173",54.792737654036,"Brickell"
"174",54.4552737570532,"Brickell"
"175",57.4651652748503,"Brickell"
"176",55.8354389706493,"Brickell"
"177",54.1585287601926,"Brickell"
"178",56.2993458166036,"Brickell"
"179",54.7841842625647,"Brickell"
"180",54.3933037387299,"Brickell"
"181",55.64240128577,"Brickell"
"182",55.3183873715228,"Brickell"
"183",56.2182323305101,"Brickell"
"184",54.6020439253981,"Brickell"
"185",54.5037543286355,"Brickell"
"186",55.8535853443134,"Brickell"
"187",52.2556131573144,"Brickell"
"188",54.7617171506617,"Brickell"
"189",55.3600715743208,"Brickell"
"190",54.9709989148774,"Brickell"
"191",56.8260495046984,"Brickell"
"192",54.2308836000183,"Brickell"
"193",53.8684644879034,"Brickell"
"194",54.9424541679727,"Brickell"
"195",53.5725489570525,"Brickell"
"196",55.4112970310777,"Brickell"
"197",54.7704853179122,"Brickell"
"198",54.7171450769411,"Brickell"
"199",54.6229823815204,"Brickell"
"200",53.5111752342236,"Brickell"
"201",54.0476756070459,"Brickell"
"202",55.5348269692304,"Brickell"
"203",54.6997421974324,"Brickell"
"204",55.3207444039217,"Brickell"
"205",51.9865782036135,"Brickell"
"206",55.5736147515278,"Brickell"
"207",55.7588959222677,"Brickell"
"208",54.9096278395056,"Brickell"
"209",55.374606217172,"Brickell"
"210",55.6322315761306,"Brickell"
"211",54.549888599277,"Brickell"
"212",53.4274833601185,"Brickell"
"213",53.3817960225873,"Brickell"
"214",54.2411162744613,"Brickell"
"215",56.2718024769023,"Brickell"
"216",55.9515418829376,"Brickell"
"217",53.9653007016999,"Brickell"
"218",55.0889665887418,"Brickell"
"219",54.1034390953757,"Brickell"
"220",54.6741728748881,"Brickell"
"221",55.423046784432,"Brickell"
"222",53.4954049409652,"Brickell"
"223",53.4966202502216,"Brickell"
"224",53.2917407708794,"Brickell"
"225",55.0124435747136,"Brickell"
"226",53.8115529975553,"Brickell"
"227",54.0914825981068,"Brickell"
"228",53.9786108173872,"Brickell"
"229",56.3400316371998,"Brickell"
"230",54.1171046094366,"Brickell"
"231",53.7898770825763,"Brickell"
"232",57.3387407688214,"Brickell"
"233",55.7332953630708,"Brickell"
"234",54.6990991084831,"Brickell"
"235",55.611914369174,"Brickell"
"236",54.6064375123214,"Brickell"
"237",54.2652847864024,"Brickell"
"238",55.9618327788462,"Brickell"
"239",54.7634008139213,"Brickell"
"240",54.9969156079505,"Brickell"
"241",55.5913233605493,"Brickell"
"242",55.2653114105751,"Brickell"
"243",53.611961585778,"Brickell"
"244",55.5412682922388,"Brickell"
"245",53.7004379172532,"Brickell"
"246",55.5882597018327,"Brickell"
"247",55.9592630890213,"Brickell"
"248",56.1245275312477,"Brickell"
"249",54.9283767775924,"Brickell"
"250",54.7491092849453,"Brickell"
"251",52.9990817824107,"Brickell"
"252",55.5435292143625,"Brickell"
"253",56.1559642608488,"Brickell"
"254",56.3494789970695,"Brickell"
"255",55.1020824682987,"Brickell"
"256",56.3378434993435,"Brickell"
"257",53.4215699824193,"Brickell"
"258",54.2000434437173,"Brickell"
"259",56.2831542650715,"Brickell"
"260",55.1921048020848,"Brickell"
"261",54.1897317898491,"Brickell"
"262",54.4842580299125,"Brickell"
"263",55.1426555959844,"Brickell"
"264",54.4366830085425,"Brickell"
"265",54.6707252723848,"Brickell"
"266",55.8118457210423,"Brickell"
"267",54.2175867522119,"Brickell"
"268",53.9667807080386,"Brickell"
"269",54.6787764588611,"Brickell"
"270",55.4018964994105,"Brickell"
"271",56.1799748963388,"Brickell"
"272",54.9730551033464,"Brickell"
"273",54.0716016399231,"Brickell"
"274",55.8814500250116,"Brickell"
"275",55.0944609665801,"Brickell"
"276",55.5012760237485,"Brickell"
"277",54.6350120670714,"Brickell"
"278",54.9971651803949,"Brickell"
"279",57.3855163127363,"Brickell"
"280",54.8064261972229,"Brickell"
"281",55.750285667795,"Brickell"
"282",56.4013003961577,"Brickell"
"283",55.5456234605786,"Brickell"
"284",53.7773568250775,"Brickell"
"285",54.4993448691724,"Brickell"
"286",55.5591277945257,"Brickell"
"287",54.9066159663413,"Brickell"
"288",52.9240755401916,"Brickell"
"289",55.5830095215502,"Brickell"
"290",55.6155739989188,"Brickell"
"291",60.844019963406,"Brickell"
"292",63.0210722265765,"Brickell"
"293",61.6979652226437,"Brickell"
"294",62.7454309728928,"Brickell"
"295",62.2359628528357,"Brickell"
"296",62.5294094127603,"Brickell"
"297",62.7694822368212,"Brickell"
"298",64.021689369576,"Brickell"
"299",60.6395875969902,"Brickell"
"300",61.8410561627243,"Brickell"
"301",61.7675913432613,"Brickell"
"302",64.647256973898,"Brickell"
"303",64.2960881097242,"Brickell"
"304",63.4915742035955,"Brickell"
"305",60.6059951789211,"Brickell"
"306",61.0554895868991,"Brickell"
"307",59.1732385854702,"Brickell"
"308",62.1384355612099,"Brickell"
"309",61.3508921768516,"Brickell"
"310",59.5158773721196,"Brickell"
"311",61.2268547788262,"Brickell"
"312",64.5781462120358,"Brickell"
"313",62.7122855037451,"Brickell"
"314",60.1243292104919,"Brickell"
"315",61.997058985522,"Brickell"
"316",65.2859460175969,"Brickell"
"317",64.7584245661274,"Brickell"
"318",62.8736057870556,"Brickell"
"319",60.9219048169907,"Brickell"
"320",64.4226209297776,"Brickell"
