"","dBa","neighborhood"
"215",64.9,"Little Havana"
"216",52.7,"Little Havana"
"217",55.4,"Little Havana"
"218",49.9,"Little Havana"
"219",62.4,"Little Havana"
"220",53.6,"Little Havana"
"221",55.4,"Little Havana"
"222",67.5,"Little Havana"
"223",51.3,"Little Havana"
"224",67,"Little Havana"
"225",57.6,"Little Havana"
"226",48.9,"Little Havana"
"227",48.9,"Little Havana"
"228",56,"Little Havana"
"229",60.1,"Little Havana"
"230",62.4,"Little Havana"
"231",64,"Little Havana"
"232",57.7,"Little Havana"
"233",55.8,"Little Havana"
"234",56,"Little Havana"
"235",54.2,"Little Havana"
"236",61.4,"Little Havana"
"237",54.9,"Little Havana"
"238",65.5,"Little Havana"
"239",62.4,"Little Havana"
"240",54.5,"Little Havana"
"241",53.6,"Little Havana"
"242",56.8,"Little Havana"
"243",49.4,"Little Havana"
"244",58.3,"Little Havana"
"245",57.1,"Little Havana"
"246",57.7,"Little Havana"
"247",50.4,"Little Havana"
"248",47.9,"Little Havana"
"249",66.2,"Little Havana"
"250",60,"Little Havana"
"251",50.6,"Little Havana"
"252",51.6,"Little Havana"
"253",67.3,"Little Havana"
"254",52.5,"Little Havana"
"255",69.3,"Little Havana"
"256",57.6,"Little Havana"
"257",53.8,"Little Havana"
"258",65.9,"Little Havana"
"259",63.8,"Little Havana"
"260",69.7,"Little Havana"
"261",48.9,"Little Havana"
"262",49.5,"Little Havana"
"263",67.3,"Little Havana"
"264",71.1,"Little Havana"
"265",54.9,"Little Havana"
"266",48.3,"Little Havana"
"267",63.1,"Little Havana"
"268",57.7,"Little Havana"
"269",63.8,"Little Havana"
"270",61.5,"Little Havana"
"271",56.7,"Little Havana"
"272",48.9,"Little Havana"
"273",64.3,"Little Havana"
"274",58.3,"Little Havana"
"275",69.7,"Little Havana"
"276",65.3,"Little Havana"
"277",50.9,"Little Havana"
"278",52.7,"Little Havana"
"279",63.1,"Little Havana"
"280",57.7,"Little Havana"
"281",50.4,"Little Havana"
"282",65.5,"Little Havana"
"283",59.7,"Little Havana"
"284",66.2,"Little Havana"
"285",61.1,"Little Havana"
"286",57.7,"Little Havana"
"287",65.3,"Little Havana"
"288",55.3,"Little Havana"
"289",51.3,"Little Havana"
"290",50.2,"Little Havana"
"291",59.6,"Little Havana"
"292",47.6,"Little Havana"
"293",57.7,"Little Havana"
"294",55.4,"Little Havana"
"295",57.1,"Little Havana"
"296",57.9,"Little Havana"
"297",57.7,"Little Havana"
"298",67.1,"Little Havana"
"299",49.8,"Little Havana"
"300",62.2,"Little Havana"
"301",70.9242678198498,"Little Havana"
"302",70.7452336447313,"Little Havana"
"303",72.332077643834,"Little Havana"
"304",72.5129354081582,"Little Havana"
"305",72.5065332839731,"Little Havana"
"306",70.7839795823675,"Little Havana"
"307",71.3451315481216,"Little Havana"
"308",72.1054606330581,"Little Havana"
"309",71.9552043436561,"Little Havana"
"310",71.5420464614872,"Little Havana"
"311",72.4852207996882,"Little Havana"
"312",71.9845529147424,"Little Havana"
"313",72.9520390336402,"Little Havana"
"314",70.4688664833084,"Little Havana"
"315",71.3875805190764,"Little Havana"
"316",72.9650694690645,"Little Havana"
"317",72.978020416107,"Little Havana"
"318",71.145945270313,"Little Havana"
"319",70.1680193715729,"Little Havana"
"320",71.9337011200842,"Little Havana"
